URL,Label,URL_clean,label
bluwiki.com/go/BoycottWikipedia,good,bluwiki.com/go/boycottwikipedia,0
www.aminaldistri.com/janter/panel/,bad,www.aminaldistri.com/janter/panel/,1
camorg.net/document/f604d33ee2a9bff0891cddd12503a0fe/,bad,camorg.net/document/f604d33ee2a9bff0891cddd12503a0fe/,1
flasheplayer.googlecode.com/svn/Song.exe,bad,flasheplayer.googlecode.com/svn/song.exe,1
sdfrenchschool.designcodebuild.com/upgrade/ym/mainpage.php,bad,sdfrenchschool.designcodebuild.com/upgrade/ym/mainpage.php,1
drama.yale.edu/YIMT/,good,drama.yale.edu/yimt/,0
bestattung-eckl.at/typo3temp/wizard.php,bad,bestattung-eckl.at/typo3temp/wizard.php,1
www.angelfire.com/rock3/megabob6666/,good,www.angelfire.com/rock3/megabob6666/,0
fanpix.net/gallery/quincy-jones-pictures.htm,good,fanpix.net/gallery/quincy-jones-pictures.htm,0
richsportsmgmt.com/administrator/help/en-GB/U.S.Bank.Securiy.Center.html,bad,richsportsmgmt.com/administrator/help/en-gb/u.s.bank.securiy.center.html,1
try.greaterlocksmithsaintcharles.org/?xniKfreZKRfJC4I=l3SKfPrfJxzFGMSUb-nJDa9BNUXCRQLPh4SGhKrXCJ-ofSih17OIFxzsmTu2KTKvgJQyfu0SaGyj1BKeO10hjoUeWF8Z5e3x1RSL2x3fipSA9wfcNFgX-pKTQLJo2Qv1yLcVJMgglBWCuDIFy7tPBwtG5BgY0Q,bad,try.greaterlocksmithsaintcharles.org/?xnikfrezkrfjc4i=l3skfprfjxzfgmsub-njda9bnuxcrqlph4sghkrxcj-ofsih17oifxzsmtu2ktkvgjqyfu0sagyj1bkeo10hjouewf8z5e3x1rsl2x3fipsa9wfcnfgx-pktqljo2qv1ylcvjmgglbwcudify7tpbwtg5bgy0q,1
boards.ancestry.com/thread.aspx?mv=flat&m=1371&p=localities.northam.canada.ontario.algoma,good,boards.ancestry.com/thread.aspx?mv=flat&m=1371&p=localities.northam.canada.ontario.algoma,0
slashdot.org/article.pl?sid=01/08/23/1856221,good,slashdot.org/article.pl?sid=01/08/23/1856221,0
www.activecampaign.com/triolive/,good,www.activecampaign.com/triolive/,0
hlllps.view.online.reader.google.drive.com.koopdesignworks.com/investora/aceesss/showdocu/access/pages/review/eeb0f700e64cadc2e5594e214bd0603d/,bad,hlllps.view.online.reader.google.drive.com.koopdesignworks.com/investora/aceesss/showdocu/access/pages/review/eeb0f700e64cadc2e5594e214bd0603d/,1
netflix.com/RoleDisplay/Elliott_Gould/36086,good,netflix.com/roledisplay/elliott_gould/36086,0
63.248.156.246/Ares13.zip,bad,63.248.156.246/ares13.zip,1
benjaminharrison.org/,good,benjaminharrison.org/,0
mni.mcgill.ca/about/,good,mni.mcgill.ca/about/,0
tvtraxx.com/so-you-think-you-can-dance-canada/season-4-episode-12-4-top-16.html,good,tvtraxx.com/so-you-think-you-can-dance-canada/season-4-episode-12-4-top-16.html,0
ticketsinventory.com/concert/street-dogs-tickets/,good,ticketsinventory.com/concert/street-dogs-tickets/,0
dtfrkx.com/,bad,dtfrkx.com/,1
craigsdesigns.com/resources/resources/resources/resources/resources/resources/resources/resources/resources/resources/future16sales/,bad,craigsdesigns.com/resources/resources/resources/resources/resources/resources/resources/resources/resources/resources/future16sales/,1
ca.linkedin.com/pub/dir/+/Sterling/ca-4864-Ontario%2C-Canada,good,ca.linkedin.com/pub/dir/+/sterling/ca-4864-ontario%2c-canada,0
www.sandense.com.br/cache/home/geral/portal/bb/index.php,bad,www.sandense.com.br/cache/home/geral/portal/bb/index.php,1
xfinitytv.comcast.net/tv/Hercules:-The-Legendary-Journeys/2293/full-episodes,good,xfinitytv.comcast.net/tv/hercules:-the-legendary-journeys/2293/full-episodes,0
xjbctcky.com/images?app=com-d3&amp;;us.battle.net/login,bad,xjbctcky.com/images?app=com-d3&amp;;us.battle.net/login,1
jimwiechers.com/background.htm,good,jimwiechers.com/background.htm,0
thedailynorthbridge.com/news/obituary-yolande-marie-labrie-gosselin-70,good,thedailynorthbridge.com/news/obituary-yolande-marie-labrie-gosselin-70,0
tools.ietf.org/html/rfc1568,good,tools.ietf.org/html/rfc1568,0
undugdaid.ru/gate.php,bad,undugdaid.ru/gate.php,1
affiliatealmanac.com/systembanking/638bee8681c4383396a93737ea16fb74/,bad,affiliatealmanac.com/systembanking/638bee8681c4383396a93737ea16fb74/,1
chromue.net/data/feeder/,bad,chromue.net/data/feeder/,1
www.rakairways.com/wp-content/plugins/akismet/webscr.htm,bad,www.rakairways.com/wp-content/plugins/akismet/webscr.htm,1
french-at-a-touch.com/Countries/Canada/canada_quebec.htm,good,french-at-a-touch.com/countries/canada/canada_quebec.htm,0
bioserviciossas.net/wp-includes/cc.php?c=99x7319q2d817l,bad,bioserviciossas.net/wp-includes/cc.php?c=99x7319q2d817l,1
romancatholicblog.typepad.com/roman_catholic_blog/2007/08/jesus-was-not-a.html,good,romancatholicblog.typepad.com/roman_catholic_blog/2007/08/jesus-was-not-a.html,0
hepsibirbilisim.com/referans/hbb/cp.php?m=login,bad,hepsibirbilisim.com/referans/hbb/cp.php?m=login,1
ufo365.in/mnbv/admin.php,bad,ufo365.in/mnbv/admin.php,1
www.hbmeyer.de/backtrack/backtren.htm,good,www.hbmeyer.de/backtrack/backtren.htm,0
